DATE_STRIN,LATITUDE,LONGITUDE,LOCATION_N,AREA,COUNTRY,REGION_COD,CAUSE_CODE
12/26/2004,5.283,95.247,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.355,95.242,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.436,95.235,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
1861/02/16,0.55,97.75,"FORT LAUDI, NIAS I., SUMATRA",NORTH SUMATRA,INDONESIA,60,0
1861/02/16,4.15,96.1,"ANALABOO, SUMATRA, INDONESIA",ACEH,INDONESIA,60,0
12/26/2004,5.479,95.249,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.572,95.325,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.584,95.347,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.571,95.325,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.575,95.326,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.593,95.367,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.55,95.304,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.562,95.317,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.594,95.335,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.588,95.361,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.552,95.294,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.537,95.284,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.605,95.387,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.584,95.349,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,1.825,73.495,"LAAMU ATOLL, FONADHOO IS.", ,MALDIVES,60,0
12/26/2004,8.734,98.225,KHAO LAK, ,THAILAND,60,0
12/26/2004,1.932,73.552,"LAAMU ATOLL, GAN IS.", ,MALDIVES,60,0
12/26/2004,8.729,98.226,KHAO LAK, ,THAILAND,60,0
12/26/2004,1.923,73.551,"LAAMU ATOLL, GAN IS.", ,MALDIVES,60,0
12/26/2004,8.57,98.224,TAP LAM NAVY BASE, ,THAILAND,60,0
12/26/2004,1.923,73.55,"LAAMU ATOLL, GAN IS.", ,MALDIVES,60,0
12/26/2004,8.611,98.238,BAN KAO LAK, ,THAILAND,60,0
12/26/2004,4.443,73.715,"NORTH MALE ATOLL, DHIFFUSHI IS.", ,MALDIVES,60,0
12/26/2004,8.675,98.242,BAN NIANG BEACH, ,THAILAND,60,0
12/26/2004,4.443,73.715,"NORTH MALE ATOLL, DHIFFUSHI IS.", ,MALDIVES,60,0
12/26/2004,8.671,98.243,BAN NIANG BEACH, ,THAILAND,60,0
12/26/2004,4.444,73.714,"NORTH MALE ATOLL, DHIFFUSHI IS.", ,MALDIVES,60,0
12/26/2004,8.7,98.24,BAN NIANG BEACH, ,THAILAND,60,0
12/26/2004,4.333,73.599,"NORTH MALE ATOLL, HURAA IS.", ,MALDIVES,60,0
12/26/2004,8.7,98.24,BAN NIANG BEACH, ,THAILAND,60,0
12/26/2004,4.334,73.601,"NORTH MALE ATOLL, HURAA IS.", ,MALDIVES,60,0
12/26/2004,8.736,98.222,LAEM PAKARANG, ,THAILAND,60,0
12/26/2004,4.327,73.597,"NORTH MALE ATOLL, KUDA HURAA IS.", ,MALDIVES,60,0
12/26/2004,5.497,95.262,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,6.874,81.844,POTTUVIL, ,SRI LANKA,60,0
3/28/2005,6.933,79.85,COLOMBO, ,SRI LANKA,60,0
12/26/2004,5.497,95.262,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,6.976,81.864,KOMARI, ,SRI LANKA,60,0
3/28/2005,4.18,73.52,MALE, ,MALDIVES,60,0
12/26/2004,5.575,95.325,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,7.209,81.86,AKKARAIPATTU, ,SRI LANKA,60,0
12/26/2004,4.195,73.526,"NORTH MALE ATOLL, HUHULE IS.", ,MALDIVES,60,0
12/26/2004,5.594,95.371,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
9/12/2007,5.826,95.347,"SABANG, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.541,95.305,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,7.173,81.86,SINNAMUHATTUVARAM, ,SRI LANKA,60,0
12/26/2004,5.576,95.345,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,7.25,81.864,ADDACACHCHENA, ,SRI LANKA,60,0
9/12/2007,4.18,73.52,MALE, ,MALDIVES,60,0
12/26/2004,5.481,95.244,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,7.289,81.866,OLUVIL, ,SRI LANKA,60,0
9/12/2007,6.933,79.85,COLOMBO, ,SRI LANKA,60,0
12/26/2004,5.611,95.391,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,7.384,81.848,KARATIVU, ,SRI LANKA,60,0
9/12/2007,8.567,81.233,TRINCOMALEE, ,SRI LANKA,60,0
12/26/2004,5.614,95.398,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,7.404,81.842,KALMUNAI, ,SRI LANKA,60,0
3/28/2005,4.167,96.15,"MEULABOH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,7.521,81.806,KALUWANCHIKUDI, ,SRI LANKA,60,0
12/26/2004,5.501,95.246,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,4.172,73.502,"NORTH MALE ATOLL, MALE IS.", ,MALDIVES,60,0
12/26/2004,7.584,81.79,CHEDDIPALAYAM, ,SRI LANKA,60,0
12/26/2004,5.614,95.398,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.588,95.358,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.561,95.311,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.549,95.302,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.59,95.389,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.482,95.265,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.489,95.264,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.576,95.327,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.595,95.371,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.536,95.282,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,9.49,76.33,ALLAPUZHA,KERALA,INDIA,60,0
12/26/2004,9.0833,76.4833,ALLAPPAD,KERALA,INDIA,60,0
12/26/2004,5.463,95.242,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,10.674,79.851,"NAGAPATTINAM, SERUTHUR",TAMIL NADU,INDIA,60,0
12/26/2004,8.088306,77.4865,"KANYAKUMARI, KEELAMANAKUDY",TAMIL NADU,INDIA,60,0
12/26/2004,5.5,95.227,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,10.015,76.22,"ERNAKULAM, EDAVANAKKAD",KERALA,INDIA,60,0
12/26/2004,10.82,79.85,"NAGAPATTINAM, NAGORE",TAMIL NADU,INDIA,60,0
12/26/2004,5.472,95.243,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,8.5069,76.9569,"THIRUVANANTHAPURAM, SINGARATHOP",KERALA,INDIA,60,0
12/26/2004,10.9167,79.8333,KARAIKAL,PUDUCHERRY,INDIA,60,0
1847/10/31,7.217,93.7,KONDUL ISLAND,ANDAMAN AND NICOBAR,INDIA,60,0
12/26/2004,5.472,95.243,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
4/11/2012,4.18,73.52,MALE, ,MALDIVES,60,0
12/26/2004,8.108028,77.403722,"KANYAKUMARI, MEELAMANAKUDY",TAMIL NADU,INDIA,60,0
4/11/2012,8.567,81.233,TRINCOMALEE, ,SRI LANKA,60,0
4/11/2012,0.565796,97.820721,"TELUKDALAM, SUMATRA", ,SRI LANKA,60,0
12/26/2004,5.556,95.237,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
4/11/2012,-12.117,96.883,COCOS ISLAND (KEELING), ,AUSTRALIA,60,0
1881/12/31,8.567,81.217,TRINCOMALEE, ,SRI LANKA,60,0
12/26/2004,8.175194,77.306278,"KANYAKUMARI, COLACHAL",TAMIL NADU,INDIA,60,0
4/11/2012,5.826,95.347,"SABANG, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.547,95.236,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
4/11/2012,4.129,96.129,"MEULABOH PORT, SUMATRA",ACEH,INDONESIA,60,0
1881/12/31,7.717,81.7,BATTICALOA, ,SRI LANKA,60,0
4/11/2012,8.905,88.54,"D23401 BPR, 600 NM W-NW OF PHUKET", ,THAILAND,60,0
12/26/2004,5.58175,95.364028,BANDA ACEH,ACEH,INDONESIA,60,0
12/26/2004,5.546,95.234,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
1881/12/31,9.29,79.21,PAUMBEN,TAMIL NADU,INDIA,60,0
12/26/2004,5.599722,95.391,BANDA ACEH,ACEH,INDONESIA,60,0
12/26/2004,5.478,95.24,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
1882/01/??,8.567,81.222,TRINCOMALEE, ,SRI LANKA,60,0
12/26/2004,5.602861,95.396306,BANDA ACEH,ACEH,INDONESIA,60,0
12/26/2004,5.555,95.236,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
1/4/1907,1.2667,97.5667,"GUNUNGSITOLI, NIAS ISLAND",NORTH SUMATRA,INDONESIA,60,0
12/26/2004,5.471,95.253,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.604694,95.38775,BANDA ACEH,ACEH,INDONESIA,60,0
1/4/1907,4.167,96.15,"MEULABOH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.597222,95.396667,BANDA ACEH,ACEH,INDONESIA,60,0
1861/02/16,-0.066667,97.86667,SIMUK IS. SUMATRA,WEST SUMATRA,INDONESIA,60,0
12/26/2004,5.5,95.246,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.560556,95.3075,BANDA ACEH,ACEH,INDONESIA,60,0
12/26/2004,5.489,95.235,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
1861/02/16,2.28,97.79,"SINGKIL, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,2.82344,95.75611,"LANGI VILLAGE, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,6.717,79.902,PANADURA FISHERY PORT, ,SRI LANKA,60,0
1861/03/09,-0.066667,97.86667,"SIMUK ISLAND, SUMATRA",WEST SUMATRA,INDONESIA,60,0
12/26/2004,2.82175,95.75933,"LANGI, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.557361,95.285556,BANDA ACEH,ACEH,INDONESIA,60,0
12/26/2004,5.543,95.242,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,6.755,79.89,MORATUWA BEACH, ,SRI LANKA,60,0
12/26/2004,2.82056,95.75992,"LANGI, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,6.756,79.89,MORATUWA BEACH, ,SRI LANKA,60,0
1861/04/26,2.28,97.79,"SINGKEL, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.561944,95.305556,BANDA ACEH,ACEH,INDONESIA,60,0
12/26/2004,5.501,95.233,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,2.63827,95.80293,"KARIYA BAKTI, SUMATRA",ACEH,INDONESIA,60,0
6/18/2000,-12.117,96.883,COCOS ISLAND (KEELING), ,AUSTRALIA,60,0
12/26/2004,5.554,95.319,"CENTER OF BANDA ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,11.027,79.855833,TARANGAMBADI,TAMIL NADU,INDIA,60,0
12/26/2004,5.474,95.255,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,2.38757,96.33693,"BUSUNG, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.46,95.246,"WEST COAST OF ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,10.774617,79.8465,NAGAPATTINAM VILLAGE,TAMIL NADU,INDIA,60,0
12/26/2004,5.496,95.235,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.551,95.304,"CENTER OF BANDA ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,2.38467,96.33572,"BUSUNG, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,10.763083,79.8488,NAGAPATTINAM PORT,TAMIL NADU,INDIA,60,0
12/26/2004,5.494,95.235,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.453,95.245,"WEST COAST OF ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,1.8242,73.49506,"FONADHOO, LAAMU", ,MALDIVES,60,0
12/26/2004,5.551,95.304,"CENTER OF BANDA ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,1.82463,73.4952,"FONADHOO, LAAMU", ,MALDIVES,60,0
12/26/2004,10.763083,79.8488,NAGAPATTINAM PORT,TAMIL NADU,INDIA,60,0
12/26/2004,5.474,95.244,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,1.93235,73.6,"FONADHOO, LAAMU", ,MALDIVES,60,0
12/26/2004,5.469,95.24,"WEST COAST OF ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,1.92293,73.5498,"FONADHOO, LAAMU", ,MALDIVES,60,0
12/26/2004,4.44435,73.7148,"DHIFFUSHI, N. MALE", ,MALDIVES,60,0
8/10/2009,8.905,88.54,"D23401 BPR, 600 NM W-NW OF PHUKET", ,THAILAND,60,0
12/26/2004,2.34927,96.37575,"ALUS ALUS, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,4.44392,73.71365,"DHIFFUSHI, N. MALE", ,MALDIVES,60,0
12/26/2004,7.235,79.841,NEGOMBO, ,SRI LANKA,60,0
12/26/2004,4.33356,73.60093,"HURAA, N. MALE", ,MALDIVES,60,0
12/26/2004,4.24918,73.53676,HURAAN. MALE, ,MALDIVES,60,0
12/26/2004,10.393283,79.8669,ARCATTUTHURAI/VEDARAYAN,TAMIL NADU,INDIA,60,0
12/26/2004,1.8324,73.50333,"FONADHOO, LAAMU", ,MALDIVES,60,0
4/11/2012,6.255,88.792,"D23327 BPR, BAY OF BENGAL", ,INDIA,60,0
1843/01/05,1,97.9,"NIAS ISLAND, SUMATRA",NORTH SUMATRA,INDONESIA,60,0
12/26/2004,5.462,95.243,"WEST COAST OF ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,1.48436,97.34708,"HUMANGA BEACH, SUMATRA",NORTH SUMATRA,INDONESIA,60,0
1852/11/11,2.28,97.79,"SINGKEL, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,7.155,79.828,TALAHENA, ,SRI LANKA,60,0
12/26/2004,5.68099,95.06124,"PULAU BREUH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.496,95.229,"WEST COAST OF ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,1.26169,97.23066,"AFULU, SUMATRA",NORTH SUMATRA,INDONESIA,60,0
12/26/2004,5.68131,95.06303,"PULAU BREUH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.533,95.304,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.68139,95.06414,"PULAU BREUH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.68139,95.06414,"PULAU BREUH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,7.086,79.828,USWETTAKEIYAWA, ,SRI LANKA,60,0
12/26/2004,5.366,95.2495,"PULUT, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.36333,95.25212,"PULUT, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.27572,95.24976,"JANTANG, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.492,95.231,"WEST COAST OF ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,0.90433,97.28002,"PULAU ASU, SUMATRA",NORTH SUMATRA,INDONESIA,60,0
12/26/2004,5.475,95.237,"WEST COAST OF ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,9.98,76.28,ERNAKULAM,KERALA,INDIA,60,0
12/26/2004,6.973,79.87,"MATTAKULIYA, COLOMBO", ,SRI LANKA,60,0
12/26/2004,5.485,95.228,"WEST COAST OF ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,0.57842,97.73203,"LAGUNDRI BAY, SUMATRA",NORTH SUMATRA,INDONESIA,60,0
12/26/2004,5.596,95.394,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.478,95.246,"WEST COAST OF ACEH, SUMATRA",ACEH,INDONESIA,60,0
4/11/2012,8.905,88.54,"D23401 BPR, 600 NM W-NW OF PHUKET", ,THAILAND,60,0
12/26/2004,6.132,80.102,HIKKADUWA, ,SRI LANKA,60,0
12/26/2004,5.433,95.231,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.58,95.35,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.553,95.316,"CENTER OF BANDA ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,4.61644,95.62812,"KUALA MEURISI, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.465,95.244,"WEST COAST OF ACEH, SUMATRA",ACEH,INDONESIA,60,0
4/11/2012,6.255,88.792,"D23327 BPR, BAY OF BENGAL", ,INDIA,60,0
12/26/2004,6.008,80.242,UNAWATUNA, ,SRI LANKA,60,0
12/26/2004,5.43,95.233,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,4.191,73.532,"HULHUMALE, NORTH MALE", ,MALDIVES,60,0
12/26/2004,6.135,81.135,HAMBANTOTA, ,SRI LANKA,60,0
12/26/2004,4.61974,95.6308,"KUALA MEURISI, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.45,95.242,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.571,95.344,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.552,95.303,"CENTER OF BANDA ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.461,95.245,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,4.189,73.533,"HULHUMALE, NORTH MALE", ,MALDIVES,60,0
12/26/2004,6.292,81.436,"MAHASEELAWA BEACH, YALA", ,SRI LANKA,60,0
12/26/2004,5.498,95.228,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,4.62073,95.63235,"KUALA MEURISI, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.354,95.243,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,4.62082,95.63249,"KUALA MEURISI, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,4.189,73.535,"HULHUMALE, NORTH MALE", ,MALDIVES,60,0
12/26/2004,6.344,81.497,"PATANANGALA BEACH , YALA", ,SRI LANKA,60,0
12/26/2004,5.451,95.243,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.46,95.246,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,4.19,73.538,"HULHUMALE, NORTH MALE", ,MALDIVES,60,0
12/26/2004,4.19453,73.52565,"HULHULE, N. MALE", ,MALDIVES,60,0
12/26/2004,9.3,79.317,"RAMESWARAM, TAMIL NADU",TAMIL NADU,INDIA,60,0
12/26/2004,5.485,95.228,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.496,95.229,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,4.201,73.541,"HULHUMALE, NORTH MALE", ,MALDIVES,60,0
12/26/2004,4.17208,73.50235,"MALE, N. MALE", ,MALDIVES,60,0
12/26/2004,-12.13,96.88,COCOS ISLAND (KEELING), ,AUSTRALIA,60,0
12/26/2004,5.499,95.229,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,4.201,73.545,"HULHUMALE, NORTH MALE", ,MALDIVES,60,0
12/26/2004,4.16942,73.50581,"MALE, N. MALE", ,MALDIVES,60,0
1861/02/16,1.5,97.2,"LAPAU ISLAND, SUMATRA",NORTH SUMATRA,INDONESIA,60,0
12/26/2004,5.456,95.246,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,4.121,73.436,"LAGUNA BEACH RESORT, SOUTH MALE", ,MALDIVES,60,0
12/26/2004,5.482,95.236,"WEST COAST OF ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,5.351,95.246,"ACEH, SUMATRA",ACEH,INDONESIA,60,0
12/26/2004,4.1697,73.51338,"MALE, N. MALE", ,MALDIVES,60,0
